-0,201153160348837    1,05365442656977
-0,200067322906977    1,05353022947674
-0,198823577732558    1,05365442656977
-0,1969109425    1,05313102453488
-0,19479249494186    1,05307247447674
-0,19204596494186    1,05241955261628
-0,189599282209302    1,05231309796512
-0,186540485232558    1,05192099
-0,183456848837209    1,0516282397093
-0,179826745232558    1,05116338773256
-0,176610040523256    1,05077305401163
-0,173444788895349    1,05086886319767
-0,171047785    1,05043949610465
-0,169324993895349    1,05031352476744
-0,167485102674419    1,05015029430233
-0,165107615465116    1,04986286674419
-0,162316729360465    1,0483104030814
-0,159227770232558    1,04806200889535
-0,156197361162791    1,04778522680233
-0,1531190475    1,04716956406977
-0,149960892848837    1,04685020011628
-0,146525956104651    1,04651486796512
-0,143264895290698    1,04618840703488
-0,140078352732558    1,04582113848837
-0,136643415988372    1,04558516401163
-0,133989146686046    1,04530660767442
-0,131121968081395    1,04454368267442
-0,128160754534884    1,04401673215116
-0,125394707848837    1,04416754290698
-0,1222968775    1,04373995005814
-0,119543250523256    1,0436565605814
-0,11750819244186    1,04344719976744
-0,11552458744186    1,0430586402907
-0,113571144593023    1,04263991866279
-0,111248658953488    1,04280137488372
-0,108974077906977    1,04247136546512
-0,106179643313954    1,04203135290698
-0,10321488127907    1,04119390965116
-0,100514481627907    1,04102535645349
-0,0973421330232558    1,04097922610465
-0,0938238068023256    1,04056405296512
-0,0904350004069767    1,04015420255814
-0,0869202226744186    1,03965209145349
-0,0830151112209302    1,03922627284884
-0,0789325753488372    1,03868335412791
-0,0747737469767442    1,03822027639535
-0,0710513826744186    1,03902046052326
-0,0672970819767442    1,03848996151163
-0,0630797035465116    1,03788671848837
-0,0595365379069768    1,037425415
-0,0554841641860465    1,03696943424419
-0,0516163118604651    1,03631651238372
-0,0478762051162791    1,03602198784884
-0,0443117485465116    1,03521825523256
-0,0405556736046512    1,03545068122093
-0,0369308927325581    1,03491663372093
-0,0338916124418605    1,03407031924419
-0,0310847581395349    1,03377224622093
-0,0283630675581395    1,03391241151163
-0,0255810526744186    1,0333694927907
-0,023001301627907    1,03301819244186
-0,0199016970348837    1,03336062156977
-0,0170345184302326    1,03268818302326
-0,0141744368023256    1,03276447552326
-0,0113480658139535    1,03284963924419
-0,00878783145348837    1,03238301302326
-0,00669422331395349    1,03199977627907
-0,00431141337209302    1,03197671110465
-0,0020102186627907    1,03199800203488
-0,000558886918604651    1,03133620895349
0,000594371802325581    1,03206542331395
0,00237216447674419    1,03226413866279
0,00251232976744186    1,0315384727907
0,0046804561627907    1,03179396395349
0,0069160038372093    1,03164315319767
0,00892799674418605    1,03140895296512
0,0111493504651163    1,03151008488372
0,0139508820348837    1,03188799889535
0,0166477331976744    1,03250898436047
0,0194403935465116    1,03276447552326
0,0218125580232558    1,03284431651163
0,024605218372093    1,03271124819767
0,0279532171511628    1,03316368046512
0,030974755    1,03390531453488
0,0338135456976744    1,03419451633721
0,0369149245348837    1,03440210290698
0,0398317819767442    1,0345263
0,0427025090697674    1,03481727604651
0,0456725938372093    1,03529809622093
0,0482718615697674    1,03605392424419
0,0507788686046512    1,03625441383721
0,0533408772093023    1,03660571418605
0,0557946569186047    1,0365986172093
0,058707965872093    1,03705992069767
0,061452721627907    1,03734379976744
0,0643376426744186    1,03784058813953
0,0671853045930233    1,038646095
0,0703363622674419    1,0390914302907
0,0734040304651163    1,03906126813953
0,0762960484883721    1,03958467017442
0,0791720983139535    1,04044517860465
0,0821120209302326    1,04090648209302
0,0847875811627907    1,04074147738372
0,0878925084883721    1,04132165523256
0,0913345422093023    1,04216442122093
0,0954277235465116    1,04225313343023
0,0992050894186046    1,04320412831395
0,102870677906977    1,04348091040698
0,10671546505814    1,04363172116279
0,110899132848837    1,04430593395349
0,114660530523256    1,04509369837209
0,118689839069767    1,04529773645349
0,1224494625    1,04612630848837
0,126457480116279    1,04603227354651
0,130742279825581    1,04680229552326
0,134920624883721    1,04775861313953
0,139012031976744    1,04811346197674
0,143114084534884    1,04862267005814
0,146378693837209    1,04892429156977
0,149881051860465    1,04902897197674
0,153291149186046    1,04987883494186
0,156126391395349    1,05045723854651
0,158812597093023    1,05026384593023
0,161289441976744    1,05056191895349
0,164137103895349    1,05144194406977
0,166649433662791    1,05173469436047
0,16919902255814    1,05157856087209
0,171635059825581    1,05194050668605
0,173542372325581    1,05253310424419
0,175737112383721    1,05236987377907
0,177653296104651    1,05263423616279
0,180091107616279    1,05287021063953
0,182174070290698    1,05361539319767
0,184581719651163    1,05368104023256
0,186909528023256    1,0535231325
0,189469762383721    1,05403056633721
0,191941284534884    1,05411573005814
0,194104088197674    1,05502769156977
0,195723973139535    1,0547189730814
0,197560315872093    1,05515366290698
0,198612442674419    1,05533995854651
0,200491367267442    1,05518205081395
0,202212384127907    1,05594497581395
0,203422418662791    1,05549786627907
